id,player_id,hole_number,strokes,updated_at,tournament_id,is_provisional,counts_as,notes,ball_no,entered_by,rule_ball_played,rule_ball_note,rule_ball,rule_ball_alt_strokes,rule_ball_status,rule_ball_counts,round_number,registration_id
ce3691d9-3395-4e98-be20-09615584b93c,07cfbc31-606f-4838-ba17-578e0720215d,6,4,2026-03-30T13:38:52.653835+00:00,7716349a-8bb0-46c6-b60c-3594eb7ea60f,false,,,1,07cfbc31-606f-4838-ba17-578e0720215d,false,,false,,,,1,07cfbc31-606f-4838-ba17-578e0720215d
bce78d27-9770-43f1-9e2a-15381e3d1467,07cfbc31-606f-4838-ba17-578e0720215d,13,4,2026-03-30T13:38:52.653835+00:00,7716349a-8bb0-46c6-b60c-3594eb7ea60f,false,,,1,07cfbc31-606f-4838-ba17-578e0720215d,false,,false,,,,1,
894bf823-8ff4-47c9-a2bf-651dd8e36c2d,0a22a191-8264-4398-8468-2e96074d3366,1,5,2026-03-30T09:32:17.935504+00:00,7716349a-8bb0-46c6-b60c-3594eb7ea60f,false,,,1,0a22a191-8264-4398-8468-2e96074d3366,false,,false,,,,1,0a22a191-8264-4398-8468-2e96074d3366
49819cb9-3e6b-4627-81d7-70da05ecf197,21380286-b867-4919-83b5-08eaac386dfe,1,6,2026-03-30T10:17:59.594132+00:00,7716349a-8bb0-46c6-b60c-3594eb7ea60f,false,,,1,885a2ebf-a33e-44a1-a5dd-ef1922c7778b,false,,false,,,,1,21380286-b867-4919-83b5-08eaac386dfe
a8fd7a14-9f66-4479-9c73-52c58ff17131,07cfbc31-606f-4838-ba17-578e0720215d,14,6,2026-03-30T13:38:52.653835+00:00,7716349a-8bb0-46c6-b60c-3594eb7ea60f,false,,,1,07cfbc31-606f-4838-ba17-578e0720215d,false,,false,,,,1,
414a181a-1a22-408e-bba4-7e9d620b5699,2e22731c-34b3-4726-937a-18e90d4213a7,1,6,2026-03-30T09:45:02.482168+00:00,7716349a-8bb0-46c6-b60c-3594eb7ea60f,false,,,1,7cb8f5cb-1d66-4a8b-a52e-3c0ab48ff137,false,,false,,,,1,2e22731c-34b3-4726-937a-18e90d4213a7
08c842c8-ed76-4e01-bc07-1f8dcfc3791e,44447724-0d2c-4601-b0c6-e53714d03f63,1,8,2026-03-30T10:03:22.782605+00:00,7716349a-8bb0-46c6-b60c-3594eb7ea60f,false,,,1,44447724-0d2c-4601-b0c6-e53714d03f63,false,,false,,,,1,44447724-0d2c-4601-b0c6-e53714d03f63
96f3c826-1091-4168-bc90-26b4ef5112a4,3b88eb10-8515-40d0-8108-a94529c534cd,1,4,2026-03-30T13:41:31.214768+00:00,7716349a-8bb0-46c6-b60c-3594eb7ea60f,false,,,1,3b88eb10-8515-40d0-8108-a94529c534cd,false,,false,,,,1,3b88eb10-8515-40d0-8108-a94529c534cd
8f57bde7-7670-4a53-af16-0e6984d5da80,117030b2-c7c3-4bab-ac1d-2b3b81b2b9d1,1,6,2026-03-30T13:42:21.841183+00:00,7716349a-8bb0-46c6-b60c-3594eb7ea60f,false,,,1,117030b2-c7c3-4bab-ac1d-2b3b81b2b9d1,false,,false,,,,1,117030b2-c7c3-4bab-ac1d-2b3b81b2b9d1
2540de25-c98d-49ac-9048-bd83e7871403,78fb4ed0-ba6c-4b98-a34b-bb8fa7f01091,1,6,2026-03-30T10:16:25.902098+00:00,7716349a-8bb0-46c6-b60c-3594eb7ea60f,false,,,1,78fb4ed0-ba6c-4b98-a34b-bb8fa7f01091,false,,false,,,,1,78fb4ed0-ba6c-4b98-a34b-bb8fa7f01091
43a5d380-c698-47de-818b-bc4fc75c785e,117030b2-c7c3-4bab-ac1d-2b3b81b2b9d1,2,4,2026-03-30T13:42:21.841183+00:00,7716349a-8bb0-46c6-b60c-3594eb7ea60f,false,,,1,b0f8374f-c18d-481e-852b-dfa6aa011ac8,false,,false,,,,1,117030b2-c7c3-4bab-ac1d-2b3b81b2b9d1
5c897d72-b0d6-4eb7-bb14-3681b3ecb9d9,7cb8f5cb-1d66-4a8b-a52e-3c0ab48ff137,1,7,2026-03-30T09:45:48.780223+00:00,7716349a-8bb0-46c6-b60c-3594eb7ea60f,false,,,1,9d71aa32-e0cc-4394-b494-f2cca4e7d382,false,,false,,,,1,7cb8f5cb-1d66-4a8b-a52e-3c0ab48ff137
896aa54f-a32f-47fb-8e0e-b530342380d3,6edb8092-3291-45fa-8651-a88b460512ad,1,5,2026-03-30T13:43:17.914795+00:00,7716349a-8bb0-46c6-b60c-3594eb7ea60f,false,,,1,6edb8092-3291-45fa-8651-a88b460512ad,false,,false,,,,1,6edb8092-3291-45fa-8651-a88b460512ad
