id,tournament_id,round,hole_number,entered_by,for_registration_id,strokes,rule_ball,rule_note,created_at,updated_at
a3ff337f-7b5f-475d-9a64-a8acb8a5fda8,7716349a-8bb0-46c6-b60c-3594eb7ea60f,1,1,2cc9e7cd-f36e-4f27-ac2e-6959eecef670,2cc9e7cd-f36e-4f27-ac2e-6959eecef670,5,false,,2026-03-28T11:24:24.507649+00:00,2026-03-28T11:24:24.507649+00:00
6192bb0b-5e2f-4b8e-8a51-343bb599e417,7716349a-8bb0-46c6-b60c-3594eb7ea60f,1,1,2cc9e7cd-f36e-4f27-ac2e-6959eecef670,db214db6-5b8c-432b-a14b-322a17f0f720,5,false,,2026-03-28T11:24:24.939874+00:00,2026-03-28T11:24:24.939874+00:00
05f66860-1031-4a88-98cf-71ea2921a8d1,7716349a-8bb0-46c6-b60c-3594eb7ea60f,1,1,47b6392b-6476-4a2b-897e-2347b126ab86,47b6392b-6476-4a2b-897e-2347b126ab86,5,false,,2026-03-30T08:26:05.416954+00:00,2026-03-30T08:26:10.391406+00:00
00fd0178-4af4-46df-821d-8a0daa805052,7716349a-8bb0-46c6-b60c-3594eb7ea60f,1,1,07cfbc31-606f-4838-ba17-578e0720215d,07cfbc31-606f-4838-ba17-578e0720215d,5,false,,2026-03-30T08:28:12.542216+00:00,2026-03-30T08:28:19.264427+00:00
1587c8f4-082d-42fa-b176-b97539e4e6d7,7716349a-8bb0-46c6-b60c-3594eb7ea60f,1,1,7c4671ff-76ee-4a70-b912-6aa7354774ee,7c4671ff-76ee-4a70-b912-6aa7354774ee,5,false,,2026-03-30T08:29:15.116746+00:00,2026-03-30T08:29:15.445695+00:00
a71252ae-450c-428f-ae29-0719c316d103,7716349a-8bb0-46c6-b60c-3594eb7ea60f,1,1,e1cc61b9-4c31-4d8e-8bee-b567ce5cca28,e1cc61b9-4c31-4d8e-8bee-b567ce5cca28,5,false,,2026-03-30T08:30:19.885086+00:00,2026-03-30T08:30:20.188331+00:00
b1a4a650-530d-4571-8ea6-ee2db867411e,7716349a-8bb0-46c6-b60c-3594eb7ea60f,1,1,3b88eb10-8515-40d0-8108-a94529c534cd,3b88eb10-8515-40d0-8108-a94529c534cd,4,false,,2026-03-30T08:30:37.251563+00:00,2026-03-30T08:30:37.251563+00:00
bf3ab91d-5b53-4ed5-8855-1c2eab4813a2,7716349a-8bb0-46c6-b60c-3594eb7ea60f,1,1,3b88eb10-8515-40d0-8108-a94529c534cd,e1cc61b9-4c31-4d8e-8bee-b567ce5cca28,5,false,,2026-03-30T08:30:37.548145+00:00,2026-03-30T08:30:37.548145+00:00
61bcb5dc-a190-4809-958e-b4dd2e511bfe,7716349a-8bb0-46c6-b60c-3594eb7ea60f,1,2,7c4671ff-76ee-4a70-b912-6aa7354774ee,7c4671ff-76ee-4a70-b912-6aa7354774ee,4,false,,2026-03-30T08:43:40.699395+00:00,2026-03-30T08:43:50.191908+00:00
e611659b-8e43-46d8-9abb-3a86f132cac6,7716349a-8bb0-46c6-b60c-3594eb7ea60f,1,1,fdd25cd4-90fe-4002-b08b-95ff807080ba,fdd25cd4-90fe-4002-b08b-95ff807080ba,7,false,,2026-03-30T08:44:23.380752+00:00,2026-03-30T08:44:34.474457+00:00
d51e3b69-9414-4709-8cd6-b9e85f0a1f45,7716349a-8bb0-46c6-b60c-3594eb7ea60f,1,1,fdd25cd4-90fe-4002-b08b-95ff807080ba,639dca59-1a8d-409a-82c6-584dbb5f34e9,5,false,,2026-03-30T08:44:23.735787+00:00,2026-03-30T08:44:34.859838+00:00
b10bf92d-819d-493a-a223-f0f7902341ab,7716349a-8bb0-46c6-b60c-3594eb7ea60f,1,2,e1cc61b9-4c31-4d8e-8bee-b567ce5cca28,e1cc61b9-4c31-4d8e-8bee-b567ce5cca28,3,false,,2026-03-30T08:45:07.205316+00:00,2026-03-30T08:46:07.37971+00:00
94b6b585-358e-4046-b65c-4abd0459e5bc,7716349a-8bb0-46c6-b60c-3594eb7ea60f,1,2,e1cc61b9-4c31-4d8e-8bee-b567ce5cca28,07cfbc31-606f-4838-ba17-578e0720215d,5,false,,2026-03-30T08:45:07.523944+00:00,2026-03-30T08:46:07.842526+00:00
