id,created_at,tournament_id,round,published
4,2026-09-20T11:18:23.960538+00:00,e9b23d74-ab9d-4ba5-86bf-744915e1ee28,1,false
5,2026-09-20T11:18:23.960538+00:00,e9b23d74-ab9d-4ba5-86bf-744915e1ee28,2,false
6,2026-09-20T11:18:23.960538+00:00,e9b23d74-ab9d-4ba5-86bf-744915e1ee28,3,false
7,2026-09-20T11:18:23.960538+00:00,7716349a-8bb0-46c6-b60c-3594eb7ea60f,1,false
8,2026-09-20T11:18:23.960538+00:00,7716349a-8bb0-46c6-b60c-3594eb7ea60f,2,false
9,2026-09-20T11:18:23.960538+00:00,7716349a-8bb0-46c6-b60c-3594eb7ea60f,3,false
11,2026-09-20T11:18:23.960538+00:00,36d5df41-5864-4103-b413-169bbd683077,2,false
12,2026-09-20T11:18:23.960538+00:00,36d5df41-5864-4103-b413-169bbd683077,3,false
10,2026-09-20T11:18:23.960538+00:00,36d5df41-5864-4103-b413-169bbd683077,1,false
1,2026-09-20T11:05:00.385571+00:00,d4a92ae2-6ecd-4043-8b5a-82414c597036,1,false
2,2026-09-20T11:05:00.385571+00:00,d4a92ae2-6ecd-4043-8b5a-82414c597036,2,false
3,2026-09-20T11:05:00.385571+00:00,d4a92ae2-6ecd-4043-8b5a-82414c597036,3,true
