id,flight_id,registration_id,seat,marks_registration_id,created_at,status
85498141-3128-4ff6-a17f-8e311af1847f,b885ea91-4c33-454d-9810-259ea9e28f40,8b083f32-c448-435c-a5f4-d09e8282f2f1,1,8b083f32-c448-435c-a5f4-d09e8282f2f1,2026-09-20T12:02:47.341153+00:00,active
79747947-ddbf-40ec-81da-e640ff701c92,b885ea91-4c33-454d-9810-259ea9e28f40,45b8d665-670d-4a05-bdd5-f569310e3532,2,45b8d665-670d-4a05-bdd5-f569310e3532,2026-09-20T12:02:47.341153+00:00,active
b6dbcc1e-a8b2-4d0c-ad38-eafdc06325cc,b885ea91-4c33-454d-9810-259ea9e28f40,d724fc19-be19-41e0-b382-5d0601416f4b,3,d724fc19-be19-41e0-b382-5d0601416f4b,2026-09-20T12:02:47.341153+00:00,active
771e040d-dd59-47de-a620-027d36081123,6a5c3f79-dc80-4b86-a744-681088338cf8,19b44c8b-f73c-464f-a197-236cf91f225b,3,5d110f0c-2f85-4f21-bfea-d8a96880f0f4,2026-03-29T14:17:14.84181+00:00,active
310663b7-b140-4c3f-9ddf-d6ff5f0d5457,e27b7943-d629-4ff1-9d1b-ee3e7ed567ed,c0fb8d2a-417b-4d68-918c-fc6d0b9b032c,2,44447724-0d2c-4601-b0c6-e53714d03f63,2026-03-30T16:35:23.145721+00:00,active
bae64f4f-b1aa-4f7f-90f0-26c7509ec251,d94d5956-2262-4585-8b3e-5de1f65312a4,44447724-0d2c-4601-b0c6-e53714d03f63,1,c0fb8d2a-417b-4d68-918c-fc6d0b9b032c,2026-03-30T16:35:23.145721+00:00,active
94393bf0-227e-4020-92cd-ada0c5be0bdc,d94d5956-2262-4585-8b3e-5de1f65312a4,bd565cdc-2b20-4ee1-8358-1c3f10ec8acf,2,fdd25cd4-90fe-4002-b08b-95ff807080ba,2026-03-30T16:35:23.145721+00:00,active
c041e1f5-06f0-4bed-8a80-be6df80a85f2,63a0fed9-f7fb-40ec-9a7d-16fae02f1a9b,5d110f0c-2f85-4f21-bfea-d8a96880f0f4,2,78fb4ed0-ba6c-4b98-a34b-bb8fa7f01091,2026-03-29T14:17:14.84181+00:00,active
e1bff492-e08f-4e5b-88f1-e23140305003,09856454-32dd-4ef6-9366-41294797557d,5d110f0c-2f85-4f21-bfea-d8a96880f0f4,1,78fb4ed0-ba6c-4b98-a34b-bb8fa7f01091,2026-03-30T16:35:23.145721+00:00,active
da8f36d6-49b2-4f52-86d1-e6e4d033f330,be0a41a7-ec45-496f-8f23-d2033c53e1a2,78fb4ed0-ba6c-4b98-a34b-bb8fa7f01091,1,19b44c8b-f73c-464f-a197-236cf91f225b,2026-03-29T14:17:14.84181+00:00,active
42719e35-fbc3-4e77-8363-d8d63b58bc26,ff82293d-2a72-4658-9429-b78fa8875278,78fb4ed0-ba6c-4b98-a34b-bb8fa7f01091,1,19b44c8b-f73c-464f-a197-236cf91f225b,2026-03-30T16:35:23.145721+00:00,active
50e8d432-9978-4244-9208-93204a24c161,6126695b-fff2-43a5-87d7-9669e60cdac9,6df30e92-bdbe-4b70-b4a3-829975e3bdcc,1,6df30e92-bdbe-4b70-b4a3-829975e3bdcc,2026-09-20T12:02:47.341153+00:00,active
246fea8f-f6d7-4f57-8916-eb660f2fe3eb,41c2590e-ea22-44bf-b862-6b8068962a10,47b6392b-6476-4a2b-897e-2347b126ab86,1,5d110f0c-2f85-4f21-bfea-d8a96880f0f4,2026-03-29T14:17:14.84181+00:00,active
d21488a6-0474-46d0-8edc-f97f206817ed,41c2590e-ea22-44bf-b862-6b8068962a10,0d19a809-374b-46bc-ac56-5d1417af6bbf,2,78fb4ed0-ba6c-4b98-a34b-bb8fa7f01091,2026-03-29T14:17:14.84181+00:00,active
f7f7784e-3e5d-48f7-88fa-e13d44a7efaa,41c2590e-ea22-44bf-b862-6b8068962a10,7c4671ff-76ee-4a70-b912-6aa7354774ee,3,19b44c8b-f73c-464f-a197-236cf91f225b,2026-03-29T14:17:14.84181+00:00,active
5b9a4c16-c932-4f7c-b6d3-ef7548e7c9c9,6126695b-fff2-43a5-87d7-9669e60cdac9,bd4c0e3c-0e92-41ac-a62f-ef3d754fe8e9,2,bd4c0e3c-0e92-41ac-a62f-ef3d754fe8e9,2026-09-20T12:02:47.341153+00:00,active
19718f19-95fb-4f2f-9639-d940d5930d14,8e91f459-3a12-4cc7-bbea-73b923bbf590,bd94cb36-8ece-4ac7-81e5-d24a4efb9045,1,bd94cb36-8ece-4ac7-81e5-d24a4efb9045,2026-09-20T12:02:47.341153+00:00,active
3846248c-8dc4-4125-bf5f-7d59194dd48d,8e91f459-3a12-4cc7-bbea-73b923bbf590,f759c844-547b-4332-83ae-1d6bfec0f16f,2,f759c844-547b-4332-83ae-1d6bfec0f16f,2026-09-20T12:02:47.341153+00:00,active
