id,tournament_id,name,holes,created_at,gender,age_min,age_max,min_age,max_age,holes_count
0503ab4b-cee7-489f-9f07-a5cbe873323f,6d49d58c-7fdb-4613-80e4-e7e048ed624c,U21 Girls,18,2026-02-20T12:37:13.9901+00:00,Girls,19,21,,,
5dfefef2-9662-4219-a583-0b81e7770d1e,6d49d58c-7fdb-4613-80e4-e7e048ed624c,U21 Boys,18,2026-02-20T12:37:13.9901+00:00,Boys,19,21,,,
95b591eb-621a-4ec8-a70c-b28d69b135bc,6d49d58c-7fdb-4613-80e4-e7e048ed624c,Overall U21,18,2026-02-20T12:37:13.9901+00:00,,19,21,,,
bb84c487-52e0-498b-b1f1-586d8fc77224,6d49d58c-7fdb-4613-80e4-e7e048ed624c,Overall U12,9,2026-02-20T12:37:13.9901+00:00,,11,12,,,
45587a5e-a683-42ab-8fd2-2f978bb49a5f,6d49d58c-7fdb-4613-80e4-e7e048ed624c,U8 Girls,9,2026-02-20T12:37:13.9901+00:00,Girls,0,8,,,
5dc25fae-d3fa-4abd-b52e-a7b741c78fc3,6d49d58c-7fdb-4613-80e4-e7e048ed624c,U8 Boys,9,2026-02-20T12:37:13.9901+00:00,Boys,0,8,,,
9bdf6c56-3201-4035-9039-104ddc843616,6d49d58c-7fdb-4613-80e4-e7e048ed624c,U10 Girls,9,2026-02-20T12:37:13.9901+00:00,Girls,9,10,,,
4e44e9a2-f41a-4d92-96b9-82bde0b8c973,6d49d58c-7fdb-4613-80e4-e7e048ed624c,U10 Boys,9,2026-02-20T12:37:13.9901+00:00,Boys,9,10,,,
66f516f7-e35f-4b6b-b4a8-15c489837887,6d49d58c-7fdb-4613-80e4-e7e048ed624c,U12 Girls,9,2026-02-20T12:37:13.9901+00:00,Girls,11,12,,,
48c3de07-ef9c-473f-bda3-d0212d686713,6d49d58c-7fdb-4613-80e4-e7e048ed624c,U12 Boys,9,2026-02-20T12:37:13.9901+00:00,Boys,11,12,,,
